,restaurant_cuisine,restaurant_price_range,restaurant_aggregate_rating,restaurant_id,restaurant_name,restaurant_latitude,restaurant_longitude,restaurant_address
77,Mexican,4,3.6,16793559,Cosme,40.7394305556,-73.9884333333,"35 East  21st Street, New York 10010"
78,Mexican,4,3.8,16771959,Maya,40.7630100000,-73.9594830000,"1191 1st Avenue, New York 10062"
79,Mexican,4,4.3,16770437,Rachel's Taqueria,40.6702500000,-73.9855277778,"408 5th Avenue, Brooklyn 11215"
80,"Italian, Southern",4,4.6,16762160,Carmine's Italian Restaurant - Times Square,40.7574980000,-73.9866540000,"200 W 44th Street, New York 10036"
81,"Pizza, Italian",3,4.9,16771079,Lombardi's Pizza,40.7216750000,-73.9955888889,"32 Spring Street, New York 10012"
82,"Italian, Pizza",3,4.5,16769089,John's Pizza of Times Square,40.7584111111,-73.9882666667,"260 W 44th Street, New York 10036"
83,"Pizza, Italian",3,4.5,16767332,Grimaldi's Pizzeria,40.7025138889,-73.9932722222,"1 Front Street, Brooklyn 11201"
84,Italian,4,4.2,16759908,Babbo,40.7326083333,-73.9990611111,"110 Waverly Place, New York 10011"
85,Italian,4,4.5,16760367,Becco,40.7606600000,-73.9894300000,"355 W 46th Street, Theater District 10036"
86,"Pizza, Italian",4,4.3,16774318,Otto Enoteca & Pizzeria,40.7320138889,-73.9961555556,"5th Avenue 8th Street, New York 10003"
87,Italian,4,4.4,16783477,Locanda Verde,40.7197680000,-74.0100580000,"377 Greenwich Street, New York 10013"
88,"American, Italian, Sandwich",3,4.5,16784825,The Meatball Shop,40.7216138889,-73.9888083333,"84 Stanton Street, New York 10002"
89,"American, Italian",4,4.3,16780256,Union Square Cafe,40.7369333333,-73.9913472222,"16th Street, New York 10003"
90,Italian,4,4.2,16771331,Lupa Osteria Romana,40.7276833333,-74.0002972222,"170 Thompson Street, New York 10012"
91,"Pizza, Italian",3,4.6,16781877,Roberta's,40.7048930000,-73.9343520000,"261 Moore Street, Brooklyn 11206"
92,Italian,4,4.1,16764132,Del Posto,40.7432833333,-74.0073694444,"85 10th Avenue, New York 10011"
93,"Italian, Pizza",4,4.7,16770070,L & B Spumoni Gardens,40.5944920000,-73.9812310000,"2725 86th Street, Brooklyn 11223"
94,Italian,4,3.7,16774112,Olive Garden,40.7586138889,-73.9842750000,"2 Times Square, New York 10036"
95,Italian,4,4.2,16762161,Carmine's,40.7912111111,-73.9741444444,"2450 Broadway, New York 10024"
96,Italian,3,4.3,16778841,Supper,40.7227583333,-73.9852833333,"156 E 2nd Street, New York 10009"
97,Italian,4,4.1,16770330,La Mela,40.7201194444,-73.9970472222,"167 Mulberry Street, New York 10013"
98,Italian,4,4.2,16784509,Maialino At Gramercy Park Hotel,40.7383111111,-73.9855722222,"2 Lexington Avenue, New York 10010"
99,"Italian, Pizza",3,4.6,16758999,Adrienne's Pizza Bar,40.7045250000,-74.0103611111,"54 Stone Street, New York 10004"
